contract_sk,contract_id,adviser_sk,client_sk,product_sk,signing_date_sk,contract_value,commission,premium_monthly,duration_months,status
39,C-0000039,16,907,12,20220920,225982.96,4854.56,,120,Cancelled
40,C-0000040,6,483,13,20220131,232021.84,5416.18,,36,Completed
41,C-0000041,30,70,6,20211201,137804.17,5801.78,382.79,360,Active
42,C-0000042,50,866,16,20260219,118830.64,2293.87,,36,Completed
43,C-0000043,30,1234,6,20250207,106279.92,4261.97,590.44,180,Active
44,C-0000044,46,1314,11,20210414,114408.91,1855.58,,12,Active
45,C-0000045,22,1180,5,20200729,5445.99,191.71,30.26,180,Active
46,C-0000046,9,1217,17,20241018,599494.76,6636.66,1665.26,360,Completed
47,C-0000047,17,356,11,20241023,113969.49,2619.94,,24,Completed
48,C-0000048,28,773,10,20260813,33806.24,1306.0,281.72,120,Completed
49,C-0000049,46,1254,8,20240521,8006.52,259.15,26.69,300,Cancelled
50,C-0000050,4,822,15,20240430,51170.02,1105.79,,24,Active
51,C-0000051,8,29,5,20250110,17913.88,678.7,59.71,300,Active
52,C-0000052,50,417,15,20210503,207159.85,4133.5,,24,Completed
53,C-0000053,31,424,9,20240314,46754.49,1865.82,389.62,120,Cancelled
54,C-0000054,30,299,10,20200313,110372.67,3866.33,919.77,120,Cancelled
55,C-0000055,42,1402,8,20240712,94563.63,4398.84,525.35,180,Active
56,C-0000056,48,435,16,20241230,35034.82,651.16,,60,Active
57,C-0000057,4,682,20,20260709,279357.92,2341.33,4655.97,60,Active
58,C-0000058,50,94,12,20200114,249191.38,5859.63,,120,Active
59,C-0000059,9,1146,13,20200415,77021.82,1475.55,,36,Active
60,C-0000060,9,184,6,20220322,78043.27,3659.08,325.18,240,Active
61,C-0000061,36,576,5,20250327,42758.87,1582.6,356.32,120,Cancelled
62,C-0000062,38,642,10,20230119,135904.94,4921.32,755.03,180,Active
63,C-0000063,4,387,16,20210114,191391.5,3293.87,,60,Active
64,C-0000064,31,238,2,20261221,198694.06,8597.71,827.89,240,Cancelled
65,C-0000065,36,938,2,20230614,187777.48,11224.66,625.92,300,Completed
66,C-0000066,12,345,5,20250402,22929.86,768.09,127.39,180,Completed
67,C-0000067,1,1078,19,20250515,723626.17,7484.26,2412.09,300,Active
68,C-0000068,23,54,3,20211228,113539.83,5672.7,1892.33,60,Cancelled
69,C-0000069,22,315,4,20200313,169784.53,8795.99,2829.74,60,Active
70,C-0000070,47,12,16,20220421,114605.77,2709.47,,120,Active
71,C-0000071,41,265,20,20210624,765627.18,7120.07,2126.74,360,Active
72,C-0000072,40,1234,10,20220901,51859.77,1705.59,864.33,60,Active
73,C-0000073,6,43,6,20251219,39811.62,1765.01,165.88,240,Active
74,C-0000074,8,612,13,20230608,72664.1,1600.1,,24,Active
75,C-0000075,47,197,10,20251029,136041.47,5666.97,755.79,180,Active
76,C-0000076,41,1230,16,20221217,112469.72,2148.7,,36,Completed
77,C-0000077,6,83,12,20230804,154239.21,3003.48,,60,Cancelled
78,C-0000078,38,1290,8,20240712,98903.54,4294.21,412.1,240,Active
79,C-0000079,21,305,15,20261122,110464.17,2569.14,,60,Active
80,C-0000080,41,98,10,20231109,127023.0,5127.85,705.68,180,Cancelled
81,C-0000081,34,1354,17,20250115,175342.52,1700.76,2922.38,60,Completed
82,C-0000082,2,234,12,20250307,65205.33,1085.94,,120,Active
83,C-0000083,50,610,6,20220314,127221.92,4163.23,530.09,240,Active
84,C-0000084,14,380,15,20200718,156704.98,2839.59,,24,Cancelled
85,C-0000085,2,12,9,20221006,131384.29,4427.82,437.95,300,Active
86,C-0000086,36,621,16,20240430,116120.43,2234.24,,120,Cancelled
87,C-0000087,21,180,12,20201116,173284.25,4107.73,,60,Active
88,C-0000088,2,429,4,20230515,330067.92,17797.48,2750.57,120,Active
89,C-0000089,13,177,8,20220208,68189.33,2865.11,227.3,300,Active
90,C-0000090,49,912,16,20260930,106626.05,1805.36,,24,Active
91,C-0000091,28,105,15,20220503,147136.11,2591.17,,120,Active
92,C-0000092,43,1498,14,20231117,244912.76,5581.3,,120,Active
93,C-0000093,48,1000,16,20210816,101120.73,2033.22,,120,Active
94,C-0000094,19,1328,1,20221202,180361.73,8353.81,3006.03,60,Active
95,C-0000095,49,894,16,20200223,156428.78,3311.51,,60,Active
96,C-0000096,15,1204,7,20260513,73039.86,2849.27,243.47,300,Active
97,C-0000097,9,601,20,20250122,697417.65,7574.51,2905.91,240,Active
98,C-0000098,35,332,14,20240509,208604.02,4460.97,,36,Active
99,C-0000099,11,1241,3,20230613,273481.45,11645.37,2279.01,120,Completed
100,C-0000100,2,735,16,20260303,77305.67,1366.41,,12,Active
101,C-0000101,3,131,6,20220513,30333.65,1387.81,101.11,300,Active
102,C-0000102,23,728,8,20250521,22499.76,800.67,125.0,180,Completed
103,C-0000103,37,1238,18,20240909,287243.86,2471.65,797.9,360,Active
104,C-0000104,7,1251,15,20240408,200148.75,4743.76,,12,Completed
105,C-0000105,11,1291,4,20201028,332971.89,13598.37,5549.53,60,Active
106,C-0000106,37,1021,12,20250217,40944.07,750.79,,60,Active
107,C-0000107,32,852,12,20250521,84982.67,1453.39,,24,Active
108,C-0000108,19,763,16,20250102,86647.38,1736.43,,12,Active
109,C-0000109,15,283,8,20250812,26983.63,1188.79,112.43,240,Active
110,C-0000110,48,741,14,20260811,224720.18,5306.71,,120,Active
111,C-0000111,6,693,1,20220316,292697.78,14736.45,4878.3,60,Cancelled
112,C-0000112,47,1314,6,20210120,67940.48,2601.59,1132.34,60,Active
113,C-0000113,49,1134,17,20260211,780862.8,7556.58,2169.06,360,Active
114,C-0000114,38,1251,11,20260611,227489.25,3654.21,,36,Active
115,C-0000115,44,1336,15,20230203,161682.08,3734.96,,120,Active
116,C-0000116,3,1101,13,20220505,194299.28,4478.17,,12,Active
117,C-0000117,6,1048,5,20231112,80468.11,3271.24,670.57,120,Active
118,C-0000118,42,530,6,20210908,8396.15,388.28,27.99,300,Completed
119,C-0000119,26,532,14,20240522,246764.77,4166.26,,12,Active
120,C-0000120,21,1173,2,20250227,307492.78,18088.83,1281.22,240,Active
121,C-0000121,50,1286,8,20240828,121781.2,5824.06,405.94,300,Completed
122,C-0000122,41,1378,8,20201223,55798.88,2039.59,155.0,360,Active
123,C-0000123,26,931,8,20200907,20257.9,815.65,168.82,120,Active
124,C-0000124,35,440,14,20230215,22322.9,368.27,,24,Active
125,C-0000125,17,1197,17,20230629,381927.6,3909.36,1591.37,240,Active
126,C-0000126,11,296,15,20230717,172876.43,4076.87,,60,Active
127,C-0000127,8,1423,15,20210628,34087.53,737.52,,120,Active
128,C-0000128,43,837,6,20201008,141890.09,5378.96,2364.83,60,Active
129,C-0000129,21,767,10,20220214,10840.91,373.5,60.23,180,Active
130,C-0000130,21,581,5,20210705,25610.27,1061.14,426.84,60,Completed
131,C-0000131,3,856,16,20230516,2517.27,51.3,,12,Active
132,C-0000132,43,272,15,20250502,225271.25,5012.46,,60,Active
133,C-0000133,22,183,15,20250807,190896.34,4073.3,,24,Active
134,C-0000134,39,94,14,20260916,98034.31,2274.59,,36,Completed
135,C-0000135,2,1172,9,20240530,98657.9,4523.98,274.05,360,Completed
136,C-0000136,6,395,10,20260909,86351.43,2934.27,287.84,300,Active
137,C-0000137,37,39,2,20201103,383771.27,19355.53,1599.05,240,Cancelled
138,C-0000138,16,1446,6,20251114,144544.63,5261.34,1204.54,120,Active
139,C-0000139,42,93,3,20230609,326629.99,17029.54,1360.96,240,Cancelled
140,C-0000140,22,783,11,20211019,110380.32,2132.49,,120,Active
141,C-0000141,17,184,4,20210128,225876.12,10324.13,1882.3,120,Cancelled
142,C-0000142,2,1461,6,20200528,13542.49,641.62,112.85,120,Active
143,C-0000143,27,248,11,20200512,37330.22,863.97,,36,Active
144,C-0000144,27,236,20,20211119,510220.35,5087.88,1700.73,300,Active
145,C-0000145,45,479,18,20260526,384953.52,3825.16,1603.97,240,Active
146,C-0000146,40,1335,18,20250701,774432.28,8286.73,6453.6,120,Active
147,C-0000147,14,292,14,20220812,112603.6,2564.01,,120,Cancelled
148,C-0000148,32,86,8,20200102,82942.67,3216.52,276.48,300,Active
149,C-0000149,4,988,20,20211130,302474.62,3595.92,5041.24,60,Active
150,C-0000150,42,1046,13,20211220,249811.98,5680.6,,24,Active
151,C-0000151,49,252,18,20251024,494157.1,4547.51,2058.99,240,Active
152,C-0000152,22,1397,9,20260814,132350.5,4681.71,441.17,300,Active
153,C-0000153,23,432,15,20230322,69707.26,1484.64,,36,Active
154,C-0000154,43,976,1,20200110,367326.93,15675.5,6122.12,60,Active
155,C-0000155,36,805,6,20231009,64908.64,3006.85,180.3,360,Completed
156,C-0000156,32,1377,3,20201111,224686.74,12998.45,624.13,360,Cancelled
157,C-0000157,49,18,13,20201114,207211.78,3908.79,,24,Active
158,C-0000158,19,1394,7,20260615,69463.76,2469.04,1157.73,60,Active
159,C-0000159,15,480,3,20261111,330186.71,17336.36,917.19,360,Cancelled
160,C-0000160,43,429,2,20200119,126687.42,7359.29,351.91,360,Cancelled
161,C-0000161,36,350,13,20231112,29514.74,537.72,,120,Active
162,C-0000162,5,1205,19,20201124,570522.88,5940.22,4754.36,120,Active
163,C-0000163,19,393,9,20251208,140366.69,6413.03,467.89,300,Active
164,C-0000164,1,875,18,20240627,530119.59,5684.32,2208.83,240,Cancelled
165,C-0000165,19,250,2,20241004,344466.73,16003.92,1435.28,240,Active
166,C-0000166,4,570,12,20260605,130279.71,2129.78,,24,Active
167,C-0000167,41,52,11,20261208,3279.5,57.58,,12,Active
168,C-0000168,11,675,14,20220304,239528.37,5589.62,,24,Active
169,C-0000169,42,1283,4,20260720,30591.65,1487.95,509.86,60,Completed
170,C-0000170,4,684,8,20230822,20636.89,739.08,114.65,180,Active
171,C-0000171,45,915,3,20240119,314784.8,16491.99,5246.41,60,Active
172,C-0000172,5,262,2,20200608,368351.46,17514.34,1023.2,360,Completed
173,C-0000173,7,1388,2,20200522,134559.01,7067.54,2242.65,60,Active
174,C-0000174,15,1228,13,20250707,101617.4,2127.71,,60,Active
175,C-0000175,44,208,15,20220518,97212.17,2173.79,,120,Cancelled
176,C-0000176,7,211,1,20200131,192549.17,8965.84,1604.58,120,Active
177,C-0000177,9,1306,19,20230725,652591.5,5726.14,2175.3,300,Active
178,C-0000178,9,91,16,20200603,181706.51,3553.63,,24,Active
179,C-0000179,21,1196,14,20260313,129255.18,2741.97,,36,Completed
180,C-0000180,26,17,5,20230816,73080.95,3044.06,406.01,180,Active
181,C-0000181,4,865,5,20220530,13311.06,533.96,44.37,300,Cancelled
182,C-0000182,35,1423,7,20241104,118863.25,4453.19,330.18,360,Active
183,C-0000183,44,614,11,20221206,213298.15,4378.75,,36,Active
184,C-0000184,15,8,15,20240621,219274.16,5105.66,,60,Active
185,C-0000185,27,421,15,20221020,156732.16,2807.41,,36,Completed
186,C-0000186,40,236,1,20201230,157870.52,6547.62,2631.18,60,Active
187,C-0000187,13,406,19,20211227,738896.14,6974.91,12314.94,60,Active
188,C-0000188,16,366,9,20210516,109231.32,4089.3,364.1,300,Active
189,C-0000189,9,777,9,20240801,137044.1,4431.44,380.68,360,Completed
190,C-0000190,26,763,11,20240816,234156.3,4317.98,,24,Cancelled
191,C-0000191,8,296,20,20260306,717164.66,8257.11,11952.74,60,Active
192,C-0000192,22,1228,7,20230103,32793.79,1247.84,182.19,180,Active
193,C-0000193,20,305,2,20220418,309971.3,16039.94,1033.24,300,Active
194,C-0000194,36,429,9,20250203,131563.47,6002.46,438.54,300,Completed
195,C-0000195,37,767,20,20230628,145411.13,1459.12,403.92,360,Active
196,C-0000196,50,1014,11,20230426,178696.74,3610.35,,60,Active
197,C-0000197,32,481,19,20221010,554816.08,4898.36,4623.47,120,Active
198,C-0000198,17,1128,13,20200804,143699.86,3374.65,,36,Completed
199,C-0000199,3,953,10,20230802,69453.27,2613.19,231.51,300,Active
200,C-0000200,22,560,15,20220905,117952.65,2273.14,,60,Active
201,C-0000201,20,1028,8,20230803,43515.61,1445.34,725.26,60,Active
202,C-0000202,26,79,9,20231027,139357.86,4678.88,2322.63,60,Active
203,C-0000203,13,1446,11,20240325,64005.86,1405.68,,36,Active
204,C-0000204,20,710,18,20250625,738667.77,5934.56,4103.71,180,Active
205,C-0000205,35,1340,13,20230803,205821.61,4540.93,,12,Completed
206,C-0000206,14,972,5,20210820,130492.59,4650.92,362.48,360,Active
207,C-0000207,23,176,18,20220311,630334.91,6864.37,2626.4,240,Active
208,C-0000208,2,768,14,20201221,53977.02,1057.94,,120,Completed
209,C-0000209,25,696,10,20210730,141786.33,4559.13,393.85,360,Active
210,C-0000210,22,1203,13,20200228,191184.71,4115.09,,36,Completed
211,C-0000211,41,1290,5,20250805,27285.23,1289.01,151.58,180,Cancelled
212,C-0000212,28,131,19,20230928,706861.33,8426.27,5890.51,120,Active
213,C-0000213,21,191,4,20210315,144959.72,8587.23,402.67,360,Active
214,C-0000214,2,383,6,20210524,9648.58,415.12,40.2,240,Cancelled
215,C-0000215,5,932,13,20200526,72386.77,1293.14,,120,Active
216,C-0000216,11,227,6,20201125,52381.95,2438.75,218.26,240,Active
217,C-0000217,9,422,3,20220302,167817.3,9745.44,1398.48,120,Completed
218,C-0000218,42,416,16,20230709,41377.75,852.41,,36,Active
219,C-0000219,5,818,9,20240327,34246.9,1638.97,142.7,240,Active
220,C-0000220,34,1180,11,20200409,227755.03,5246.09,,60,Active
221,C-0000221,28,1256,15,20251007,88001.9,2001.26,,36,Completed
222,C-0000222,34,788,14,20260518,63785.43,1479.8,,60,Active
223,C-0000223,16,324,19,20211201,166873.92,1801.33,2781.23,60,Active
224,C-0000224,14,1011,10,20221117,101665.26,3361.86,282.4,360,Completed
225,C-0000225,37,668,4,20221115,398220.22,16538.35,6637.0,60,Active
226,C-0000226,45,1423,7,20240924,78379.36,3087.73,1306.32,60,Active
227,C-0000227,3,22,11,20211001,186997.44,4272.18,,60,Active
228,C-0000228,34,140,5,20200729,52431.0,2305.85,218.46,240,Active
229,C-0000229,11,37,15,20240401,36783.43,829.96,,24,Active
230,C-0000230,47,23,4,20240927,223168.46,10671.24,3719.47,60,Active
231,C-0000231,14,906,12,20241116,46129.18,1001.71,,120,Completed
232,C-0000232,27,1414,17,20220228,548708.53,5962.07,9145.14,60,Active
233,C-0000233,16,768,1,20260513,38492.58,1830.24,320.77,120,Active
234,C-0000234,13,1393,1,20240906,180239.44,10775.76,1001.33,180,Active
235,C-0000235,11,91,4,20221129,322831.18,18275.15,2690.26,120,Active
236,C-0000236,14,1110,11,20221006,82024.53,1723.69,,120,Active
237,C-0000237,1,824,8,20240730,35998.1,1357.32,299.98,120,Active
238,C-0000238,46,1278,7,20220802,71522.51,2364.27,397.35,180,Active
239,C-0000239,7,1460,7,20231003,64609.04,2860.93,269.2,240,Cancelled
240,C-0000240,22,1293,19,20241115,220021.38,2604.2,733.4,300,Active
241,C-0000241,22,1365,5,20230517,53146.75,2240.97,147.63,360,Active
242,C-0000242,45,477,20,20230711,738472.28,7233.81,2461.57,300,Active
243,C-0000243,21,485,1,20250303,108390.24,5671.73,1806.5,60,Completed
244,C-0000244,20,414,20,20210122,155572.75,1330.18,648.22,240,Active
245,C-0000245,23,275,2,20211213,110464.31,6020.99,460.27,240,Active
246,C-0000246,20,49,2,20210809,217931.69,12978.13,605.37,360,Active
247,C-0000247,48,1426,11,20250114,62077.75,1261.08,,24,Active
248,C-0000248,5,1007,13,20200626,131325.04,2294.03,,12,Active
249,C-0000249,42,1125,5,20251027,141049.81,4796.96,1175.42,120,Cancelled
250,C-0000250,21,337,8,20250120,78576.56,3050.33,327.4,240,Active
251,C-0000251,32,1302,6,20210529,92848.43,3421.43,309.49,300,Completed
252,C-0000252,27,344,16,20230418,21843.96,519.46,,60,Active
253,C-0000253,2,782,20,20221228,614449.67,6784.32,2560.21,240,Active
254,C-0000254,12,527,10,20220831,91301.59,3144.86,253.62,360,Active
255,C-0000255,23,280,10,20250102,59396.3,2476.61,989.94,60,Active
256,C-0000256,26,1007,7,20221101,5606.18,256.69,15.57,360,Active
257,C-0000257,21,1313,13,20261201,242682.17,4607.36,,60,Active
258,C-0000258,11,398,2,20250505,397139.54,16874.28,1323.8,300,Cancelled
259,C-0000259,49,119,12,20240723,128382.87,2555.97,,36,Cancelled
260,C-0000260,45,1448,8,20240925,40141.17,1306.68,223.01,180,Active
261,C-0000261,10,521,5,20210924,42892.95,1685.16,119.15,360,Active
262,C-0000262,50,788,6,20221013,6788.92,300.99,18.86,360,Active
263,C-0000263,11,875,3,20211008,217044.08,9501.42,904.35,240,Active
264,C-0000264,30,1491,18,20260202,560940.24,5346.41,3116.33,180,Active
265,C-0000265,19,430,19,20260707,643683.78,6036.19,5364.03,120,Active
266,C-0000266,1,199,10,20200626,5930.94,205.77,24.71,240,Active
267,C-0000267,11,362,17,20220816,391789.63,3586.19,1632.46,240,Active
268,C-0000268,32,1162,7,20250912,75538.33,3024.69,1258.97,60,Active
269,C-0000269,17,838,2,20230201,304967.98,17134.19,2541.4,120,Cancelled
270,C-0000270,6,774,4,20201113,349977.56,15161.91,1944.32,180,Active
271,C-0000271,7,20,1,20200604,242545.63,12020.06,673.74,360,Completed
272,C-0000272,7,433,1,20230829,272822.47,15219.17,4547.04,60,Active
273,C-0000273,36,970,20,20250418,464051.89,5498.19,2578.07,180,Active
274,C-0000274,16,740,11,20240828,93954.71,2172.35,,36,Active
275,C-0000275,1,936,2,20260204,390615.92,22445.4,6510.27,60,Active
276,C-0000276,19,1433,5,20250404,8723.66,296.31,29.08,300,Active
277,C-0000277,37,847,15,20240815,155351.22,3304.48,,60,Active
278,C-0000278,22,1389,11,20230209,6124.32,115.64,,12,Active
279,C-0000279,31,976,13,20261128,185322.75,4142.28,,36,Completed
280,C-0000280,50,294,4,20260203,299025.54,13718.47,2491.88,120,Completed
281,C-0000281,21,1379,17,20261223,122222.02,1221.21,2037.03,60,Cancelled
282,C-0000282,35,1358,15,20231013,43677.11,854.77,,12,Active
283,C-0000283,7,891,6,20261215,114221.62,4860.81,1903.69,60,Active
284,C-0000284,17,1364,11,20230503,225856.83,4998.32,,24,Completed
285,C-0000285,36,186,4,20250728,272881.02,15951.18,758.0,360,Active
286,C-0000286,5,1319,8,20220527,140108.09,6201.38,467.03,300,Cancelled
287,C-0000287,15,458,13,20211025,164172.07,3657.86,,60,Active
288,C-0000288,8,1174,4,20220728,53872.98,2952.87,448.94,120,Completed
289,C-0000289,42,1097,13,20210429,145075.38,2323.15,,12,Active
290,C-0000290,38,1360,14,20240319,81271.46,1537.67,,24,Active
291,C-0000291,10,608,13,20251111,4278.75,97.64,,36,Active
292,C-0000292,43,656,15,20220301,38561.49,704.41,,12,Cancelled
293,C-0000293,35,1293,4,20251020,123911.97,7057.21,413.04,300,Active
294,C-0000294,50,432,13,20251209,16585.52,372.87,,24,Cancelled
295,C-0000295,36,1490,8,20220928,106559.07,3499.51,887.99,120,Cancelled
296,C-0000296,31,1389,6,20230425,148704.17,6062.24,826.13,180,Active
297,C-0000297,20,1427,13,20260618,98983.65,2001.72,,36,Active
298,C-0000298,4,1454,18,20220216,375640.72,3201.81,1252.14,300,Active
299,C-0000299,10,430,19,20210712,196292.67,2116.79,1090.51,180,Active
300,C-0000300,48,303,1,20220820,157645.8,9005.17,2627.43,60,Cancelled
301,C-0000301,12,108,6,20201027,139267.87,4670.59,580.28,240,Active
302,C-0000302,16,70,11,20201030,149161.31,3543.75,,60,Active
303,C-0000303,27,1417,10,20261209,104757.7,4952.2,290.99,360,Active
304,C-0000304,27,564,3,20240605,315537.71,18079.65,876.49,360,Active
305,C-0000305,46,1370,1,20260512,65600.15,2732.43,273.33,240,Active
306,C-0000306,49,194,19,20250724,501087.34,5156.45,2783.82,180,Active
307,C-0000307,41,257,16,20200910,249988.64,5405.23,,36,Active
308,C-0000308,28,1139,18,20250922,229422.89,2581.35,3823.71,60,Completed
309,C-0000309,39,1462,17,20250924,441994.28,4453.36,1473.31,300,Active
310,C-0000310,43,1424,7,20210405,145023.75,6723.54,1208.53,120,Active
311,C-0000311,46,331,11,20200812,32515.24,553.75,,24,Active
312,C-0000312,26,1115,2,20210315,52151.92,2216.16,289.73,180,Cancelled
313,C-0000313,20,1350,1,20230927,114368.09,4680.32,381.23,300,Active
314,C-0000314,43,1103,16,20230728,174385.17,3519.32,,36,Active
315,C-0000315,14,275,2,20240320,110098.14,4818.06,611.66,180,Active
316,C-0000316,5,1127,12,20211013,70794.14,1545.64,,60,Active
317,C-0000317,48,872,6,20260731,63008.61,2100.21,350.05,180,Active
318,C-0000318,49,1323,7,20210506,15230.92,665.94,42.31,360,Active
319,C-0000319,22,889,17,20220826,523461.28,5066.45,4362.18,120,Cancelled
320,C-0000320,48,1124,8,20221107,16241.07,552.1,270.68,60,Active
321,C-0000321,10,463,3,20211130,157871.4,7367.91,877.06,180,Active
322,C-0000322,12,1079,8,20250205,59901.69,2017.49,998.36,60,Active
323,C-0000323,20,1130,16,20211124,25694.06,482.82,,120,Active
324,C-0000324,12,707,2,20250822,84884.02,5002.23,353.68,240,Active
325,C-0000325,35,1214,18,20201122,486170.19,5604.61,2025.71,240,Active
326,C-0000326,27,1163,17,20250224,599255.86,6370.24,4993.8,120,Active
327,C-0000327,30,1448,12,20230316,177460.6,3193.03,,120,Active
328,C-0000328,31,1067,12,20260805,200020.29,4003.97,,36,Completed
329,C-0000329,30,641,8,20251202,49252.18,2252.14,273.62,180,Active
330,C-0000330,41,118,3,20200804,297382.15,17515.02,2478.18,120,Active
331,C-0000331,48,1042,16,20260713,202470.04,3256.84,,60,Active
332,C-0000332,49,256,16,20221102,129722.85,3111.23,,120,Active
333,C-0000333,25,501,1,20261217,291380.83,15749.67,809.39,360,Active
334,C-0000334,11,1382,17,20260707,578854.67,4728.91,2411.89,240,Completed
335,C-0000335,37,724,8,20260902,30348.06,1149.37,252.9,120,Active
336,C-0000336,48,512,13,20251028,44280.02,1052.0,,36,Completed
337,C-0000337,14,5,4,20250303,130224.6,6467.28,723.47,180,Active
338,C-0000338,37,73,7,20260720,138843.17,6506.99,385.68,360,Completed
339,C-0000339,23,612,16,20220623,16259.19,260.91,,60,Active
340,C-0000340,36,405,6,20200804,63299.87,2034.57,263.75,240,Active
341,C-0000341,10,1345,5,20211001,64554.26,3008.86,1075.9,60,Active
342,C-0000342,39,552,12,20201005,76222.67,1480.76,,24,Active
343,C-0000343,1,736,15,20260310,42134.91,793.4,,60,Active
344,C-0000344,30,679,4,20260423,92035.49,3755.52,383.48,240,Active
345,C-0000345,8,863,7,20230605,142514.5,6748.8,791.75,180,Active
346,C-0000346,37,1487,5,20260619,52108.72,2304.78,217.12,240,Completed
347,C-0000347,9,319,13,20220530,34591.58,818.49,,12,Active
348,C-0000348,43,17,8,20230116,12545.78,568.04,52.27,240,Active
349,C-0000349,10,1494,16,20230731,22488.49,436.99,,120,Active
350,C-0000350,47,879,4,20210521,348383.39,20862.99,2903.19,120,Active
351,C-0000351,13,1211,4,20240527,286435.08,14335.12,2386.96,120,Active
352,C-0000352,10,874,4,20200214,70272.41,2864.82,585.6,120,Active
353,C-0000353,45,474,2,20210721,164534.01,8308.87,457.04,360,Active
354,C-0000354,8,552,2,20220719,213748.2,11302.46,1187.49,180,Cancelled
355,C-0000355,3,2,14,20200513,63248.22,1464.88,,24,Active
356,C-0000356,7,883,7,20210416,46370.96,1691.73,154.57,300,Cancelled
357,C-0000357,48,1131,12,20250523,84901.97,1434.18,,12,Active
358,C-0000358,38,1239,12,20220808,185840.44,3510.73,,120,Active
359,C-0000359,9,1290,7,20250313,89727.45,2996.51,1495.46,60,Active
360,C-0000360,13,1444,19,20230214,777831.13,8973.19,6481.93,120,Active
361,C-0000361,13,1093,18,20250116,533307.26,4909.58,2222.11,240,Active
362,C-0000362,25,750,7,20230221,65640.82,2847.87,218.8,300,Active
363,C-0000363,2,342,14,20240312,18791.71,363.66,,120,Active
364,C-0000364,49,390,5,20250310,47000.17,2222.77,783.34,60,Active
365,C-0000365,32,1044,18,20220908,709179.0,8429.41,5909.82,120,Completed
366,C-0000366,11,1172,13,20210710,152590.16,2694.04,,12,Active
367,C-0000367,17,622,17,20251219,418808.69,4536.12,1396.03,300,Active
368,C-0000368,39,488,9,20220117,85061.88,2954.86,1417.7,60,Active
369,C-0000369,46,510,9,20261204,139450.95,5065.83,2324.18,60,Active
370,C-0000370,26,665,4,20200731,20531.99,963.96,68.44,300,Active
371,C-0000371,20,665,18,20261124,284826.73,2430.84,949.42,300,Active
372,C-0000372,12,525,1,20261021,333094.08,14784.58,1850.52,180,Active
373,C-0000373,46,528,19,20260203,174509.91,1916.66,727.12,240,Active
374,C-0000374,19,418,18,20240126,244311.31,2386.61,1357.29,180,Completed
375,C-0000375,26,304,13,20260427,40599.09,724.85,,60,Active
